,0
1616,FRS2
1617,ALG3
1618,NUDC
1619,NFATC4
1620,TATDN3
1621,TNS2
1622,TJP3
1623,ALYREF
1624,SOCS6
1625,TAF2
1626,HNRNPL
1627,SAR1A
1628,TRMT6
1629,ADAMTS4
1630,HSD17B7
1631,CC2D1A
1632,ARL1
1633,ATP6V1C1
1634,SLC2A8
1635,RAP2C
1636,C11orf1
1637,COL1A2
1638,PPIE
1639,ERP44
1640,MCM3AP
1641,SMAP2
1642,RNF144B
1643,SRF
1644,EIF4G3
1645,OCIAD1
1646,SLC6A8
1647,CNTNAP1
1648,NOP14
1649,AARS
1650,EGR1
1651,VIPAS39
1652,CNST
1653,CHMP4C
1654,TRMT10C
1655,TATDN1
1656,DNAJB12
1657,ZC3H3
1658,LETMD1
1659,ID3
1660,AKIRIN2
1661,NRP1
1662,COL5A1
1663,RBL2
1664,USP7
1665,SYNPO
1666,THRAP3
1667,DDB1
1668,ASF1B
1669,DPH3
1670,OGDH
1671,SUB1
1672,MARCH8
1673,MFF
1674,MSRB2
1675,NUF2
1676,HLA-DQA1
1677,G6PD
1678,CLTB
1679,ALDH1B1
1680,AZIN1
1681,ZNF394
1682,CTCF
1683,HOMER3
1684,SLC33A1
1685,HRH1
1686,ERCC5
1687,TSPAN1
1688,GPR107
1689,MRPS27
1690,C1GALT1C1
1691,SLC45A2
1692,DDX58
1693,MTNR1B
1694,SNX22
1695,ERN2
